Team,Year,State,Stadium,Capacity
TOR,2014,Canada,Rogers Centre,49282
TOR,2015,Canada,Rogers Centre,49282
TOR,2016,Canada,Rogers Centre,49282
TOR,2017,Canada,Rogers Centre,49282
TOR,2018,Canada,Rogers Centre,49282
TOR,2019,Canada,Rogers Centre,53506
TOR,2022,Canada,Rogers Centre,41500
TOR,2023,Canada,Rogers Centre,41500
TOR,2024,Canada,Rogers Centre,39150
WSN,2005,Washington DC,RFK Memorial Stadium,45596
WSN,2006,Washington DC,RFK Memorial Stadium,45596
WSN,2007,Washington DC,RFK Memorial Stadium,45596
WSN,2008,Washington DC,Nationals Park,41888
WSN,2009,Washington DC,Nationals Park,41888
WSN,2010,Washington DC,Nationals Park,41546
WSN,2011,Washington DC,Nationals Park,41546
WSN,2012,Washington DC,Nationals Park,41487
WSN,2013,Washington DC,Nationals Park,41418
WSN,2014,Washington DC,Nationals Park,41418
WSN,2015,Washington DC,Nationals Park,41418
WSN,2016,Washington DC,Nationals Park,41313
WSN,2017,Washington DC,Nationals Park,41418
WSN,2018,Washington DC,Nationals Park,41418
WSN,2019,Washington DC,Nationals Park,41922
WSN,2022,Washington DC,Nationals Park,41922
WSN,2023,Washington DC,Nationals Park,41922
WSN,2024,Washington DC,Nationals Park,41339
